codi_conc_tco;codi_oper_ope;codi_cicl_cic;desc_conc_tco;desc_cort_tco;tipo_conc_tco;tipo_calc_tco;secu_calc_tco;flag_asoc_tco;flag_recu_tco;rnta_qnta_tco;cts_cts_tco;codi_conc_onc;codi_enti_ent;cnta_debe_tco;cnta_habe_tco;clas_conc_tco;flag_pago_tco;codi_cova_tco;codi_rtps_tco;tipo_conc_pla;codi_conc_pla;desc_conc_pla;codi_plame
0101;;G;ALIMENTACIÓN PRINCIPAL EN DINERO;ALIMENTACIÓN PRINCIPAL EN;1;1;1;0;0;2;0;0;;;;1;1;;101;1;;;101
0102;;G;ALIMENTACIÓN PRINCIPAL EN ESPECIE;ALIMENTACIÓN PRINCIPAL EN;1;1;1;0;0;2;0;0;;;;1;1;;102;1;;;102
0103;;G;COMISIONES O DESTAJO;COMISIONES O DESTAJO;1;1;1;0;0;2;0;0;;;;1;1;;103;1;;;103
0104;;G;COMISIONES EVENTUALES A TRABAJADORES;COMISIONES EVENTUALES A T;1;1;1;0;0;2;0;0;;;;1;1;;104;1;;;104
0105;;G;TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 25%;TRABAJO EN SOBRETIEMPO (H;1;1;1;0;0;2;0;0;;;;1;1;;105;1;;;105
0106;;G;TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 35%;TRABAJO EN SOBRETIEMPO (H;1;1;1;0;0;2;0;0;;;;1;1;;106;1;;;106
0107;;G;TRABAJO EN DÍA FERIADO O DÍA DE DESCANSO;TRABAJO EN DÍA FERIADO O ;1;1;1;0;0;2;0;0;;;;1;1;;107;1;;;107
0108;;G;INCREMENTO EN SNP 3.3 %;INCREMENTO EN SNP 3.3 %;1;1;1;0;0;2;0;0;;;;1;1;;108;1;;;108
0109;;G;INCREMENTO POR AFILIACIÓN A AFP 10.23%;INCREMENTO POR AFILIACIÓN;1;1;1;0;0;2;0;0;;;;1;1;;109;1;;;109
0110;;G;INCREMENTO POR AFILIACIÓN A AFP 3.00%;INCREMENTO POR AFILIACIÓN;1;1;1;0;0;2;0;0;;;;1;1;;110;1;;;110
0111;;G;PREMIOS POR VENTAS;PREMIOS POR VENTAS;1;1;1;0;0;2;0;0;;;;1;1;;111;1;;;111
0112;;G;PRESTACIONES ALIMENTARIAS - SUMINISTROS DIRECTOS;PRESTACIONES ALIMENTARIAS;1;1;1;0;0;2;0;0;;;;1;1;;112;1;;;112
0113;;G;PRESTACIONES ALIMENTARIAS - SUMINISTROS INDIRECTOS;PRESTACIONES ALIMENTARIAS;1;1;1;0;0;2;0;0;;;;1;1;;113;1;;;113
0114;;G;VACACIONES TRUNCAS;VACACIONES TRUNCAS;1;1;1;0;0;2;0;0;;;;1;1;;114;1;;;114
0115;;G;REMUNERACIÓN DÍA DE DESCANSO Y FERIADOS (INCLUIDA LA DEL 1° DE MAYO);REMUNERACIÓN DÍA DE DESCA;1;1;1;0;0;2;0;0;;;;1;1;;115;1;;;115
0116;;G;REMUNERACIÓN EN ESPECIE;REMUNERACIÓN EN ESPECIE;1;1;1;0;0;2;0;0;;;;1;1;;116;1;;;116
0117;;G;COMPENSACIÓN VACACIONAL;COMPENSACIÓN VACACIONAL;1;1;1;0;0;2;0;0;;;;1;1;;117;1;;;117
0118;;G;REMUNERACIÓN VACACIONAL;REMUNERACIÓN VACACIONAL;1;1;1;0;0;2;0;0;;;;1;1;;118;1;;;118
0119;;G;REMUNERACIONES DEVENGADAS;REMUNERACIONES DEVENGADAS;1;1;1;0;0;2;0;0;;;;1;1;;119;1;;;119
0120;;G;SUBVENCIÓN ECONÓMICA MENSUAL (PRACTICANTE SENATI);SUBVENCIÓN ECONÓMICA MENS;1;1;1;0;0;2;0;0;;;;1;1;;120;1;;;120
0121;;G;REMUNERACIÓN O JORNAL BÁSICO;REMUNERACIÓN O JORNAL BÁS;1;1;1;0;0;2;0;0;;;;1;1;;121;1;;;121
0122;;G;REMUNERACIÓN PERMANENTE;REMUNERACIÓN PERMANENTE;1;1;1;0;0;2;0;0;;;;1;1;;122;1;;;122
0123;;G;REMUNERACIÓN DE LOS SOCIOS DE COOPERATIVAS;REMUNERACIÓN DE LOS SOCIO;1;1;1;0;0;2;0;0;;;;1;1;;123;1;;;123
0124;;G;REMUNERACIÓN POR LA HORA DE PERMISO POR LACTANCIA;REMUNERACIÓN POR LA HORA ;1;1;1;0;0;2;0;0;;;;1;1;;124;1;;;124
0125;;G;REMUNERACIÓN INTEGRAL ANUAL - CUOTA;REMUNERACIÓN INTEGRAL ANU;1;1;1;0;0;2;0;0;;;;1;1;;125;1;;;125
0126;;G;INGRESOS DEL CONDUCTOR DE LA MICROEMPRESA AFILIADO AL SIS;INGRESOS DEL CONDUCTOR DE;1;1;1;0;0;2;0;0;;;;1;1;;126;1;;;126
0127;;G;INGRESOS DEL CONDUCTOR DE LA MICROEMPRESA - SEGURO REGULAR;INGRESOS DEL CONDUCTOR DE;1;1;1;0;0;2;0;0;;;;1;1;;127;1;;;127
0128;;G;REMUNERACIÓN QUE EXCEDE EL VALOR DE MERCADO (DIVIDENDOS);REMUNERACIÓN QUE EXCEDE E;1;1;1;0;0;2;0;0;;;;1;1;;128;1;;;128
0129;;G;ESTIPENDIO INTERNO CIENCIAS SALUD;ESTIPENDIO INTERNO CIENCI;1;1;1;0;0;2;0;0;;;;1;1;;129;1;;;129
0201;;G;ASIGNACIÓN FAMILIAR;ASIGNACIÓN FAMILIAR;1;1;1;0;0;2;0;0;;;;1;1;;201;1;;;201
0202;;G;ASIGNACIÓN O BONIFICACIÓN POR EDUCACIÓN (1);ASIGNACIÓN O BONIFICACIÓN;1;1;1;0;0;2;0;0;;;;1;1;;202;1;;;202
0203;;G;ASIGNACIÓN POR CUMPLEAÑOS;ASIGNACIÓN POR CUMPLEAÑOS;1;1;1;0;0;2;0;0;;;;1;1;;203;1;;;203
0204;;G;ASIGNACIÓN POR MATRIMONIO;ASIGNACIÓN POR MATRIMONIO;1;1;1;0;0;2;0;0;;;;1;1;;204;1;;;204
0205;;G;ASIGNACIÓN  POR NACIMIENTO DE HIJOS;ASIGNACIÓN  POR NACIMIENT;1;1;1;0;0;2;0;0;;;;1;1;;205;1;;;205
0206;;G;ASIGNACIÓN POR FALLECIMIENTO DE FAMILIARES;ASIGNACIÓN POR FALLECIMIE;1;1;1;0;0;2;0;0;;;;1;1;;206;1;;;206
0207;;G;ASIGNACIÓN POR OTROS MOTIVOS PERSONALES (2);ASIGNACIÓN POR OTROS MOTI;1;1;1;0;0;2;0;0;;;;1;1;;207;1;;;207
0208;;G;ASIGNACIÓN POR FESTIVIDAD;ASIGNACIÓN POR FESTIVIDAD;1;1;1;0;0;2;0;0;;;;1;1;;208;1;;;208
0209;;G;ASIGNACIÓN PROVISIONAL POR DEMANDA DE TRABAJADOR DESPEDIDO;ASIGNACIÓN PROVISIONAL PO;1;1;1;0;0;2;0;0;;;;1;1;;209;1;;;209
0210;;G;ASIGNACIÓN VACACIONAL;ASIGNACIÓN VACACIONAL;1;1;1;0;0;2;0;0;;;;1;1;;210;1;;;210
0211;;G;ASIGNACIÓN POR ESCOLARIDAD 30 JORNALES BASICOS/AÑO;ASIGNACIÓN POR ESCOLARIDA;1;1;1;0;0;2;0;0;;;;1;1;;211;1;;;211
0212;;G;ASIGNACIONES OTORGADAS POR ÚNICA VEZ CON MOTIVO DE CIERTAS CONTINGENCIAS;ASIGNACIONES OTORGADAS PO;1;1;1;0;0;2;0;0;;;;1;1;;212;1;;;212
0213;;G;ASIGNACIONES OTORGADAS REGULARMENTE;ASIGNACIONES OTORGADAS RE;1;1;1;0;0;2;0;0;;;;1;1;;213;1;;;213
0214;;G;ASIGNACIÓN POR FALLECIMIENTO 1 UIT;ASIGNACIÓN POR FALLECIMIE;1;1;1;0;0;2;0;0;;;;1;1;;214;1;;;214
0301;;G;BONIFICACIÓN POR 25 Y 30 AÑOS DE SERVICIOS;BONIFICACIÓN POR 25 Y 30 ;1;1;1;0;0;2;0;0;;;;1;1;;301;1;;;301
0302;;G;BONIFICACIÓN POR CIERRE DE PLIEGO;BONIFICACIÓN POR CIERRE D;1;1;1;0;0;2;0;0;;;;1;1;;302;1;;;302
0303;;G;BONIFICACIÓN POR PRODUCCIÓN;BONIFICACIÓN POR PRODUCCI;1;1;1;0;0;2;0;0;;;;1;1;;303;1;;;303
0304;;G;BONIFICACIÓN POR RIESGO DE CAJA;BONIFICACIÓN POR RIESGO D;1;1;1;0;0;2;0;0;;;;1;1;;304;1;;;304
0305;;G;BONIFICACIONES POR TIEMPO DE SERVICIOS;BONIFICACIONES POR TIEMPO;1;1;1;0;0;2;0;0;;;;1;1;;305;1;;;305
0306;;G;BONIFICACIONES REGULARES;BONIFICACIONES REGULARES;1;1;1;0;0;2;0;0;;;;1;1;;306;1;;;306
0307;;G;BONIFICACIONES CAFAE (3);BONIFICACIONES CAFAE (3);1;1;1;0;0;2;0;0;;;;1;1;;307;1;;;307
0308;;G;COMPENSACIÓN POR TRABAJOS EN DÍAS DE DESCANSO Y EN FERIADOS;COMPENSACIÓN POR TRABAJOS;1;1;1;0;0;2;0;0;;;;1;1;;308;1;;;308
0309;;G;BONIFICACIÓN POR TURNO NOCTURNO 20% JORNAL BASICO;BONIFICACIÓN POR TURNO NO;1;1;1;0;0;2;0;0;;;;1;1;;309;1;;;309
0310;;G;BONIFICACIÓN CONTACTO DIRECTO CON AGUA 20% JORNAL BÁSICO;BONIFICACIÓN CONTACTO DIR;1;1;1;0;0;2;0;0;;;;1;1;;310;1;;;310
0311;;G;BONIFICACION UNIFICADA DE CONSTRUCCION;BONIFICACION UNIFICADA DE;1;1;1;0;0;2;0;0;;;;1;1;;311;1;;;311
0312;;G;BONIFICACIÓN EXTRAORDINARIA TEMPORAL  LEY 29351;BONIFICACIÓN EXTRAORDINAR;1;1;1;0;0;2;0;0;;;;1;1;;312;1;;;312
0313;;G;BONIFICACIÓN EXTRAORDINARIA PROPORCIONAL  LEY 29351;BONIFICACIÓN EXTRAORDINAR;1;1;1;0;0;2;0;0;;;;1;1;;313;1;;;313
0314;;G;BONIFICACIÓN ESPECIAL POR TRABAJO AGRARIO;BONIFICACIÓN ESPECIAL POR;1;1;1;0;0;2;0;0;;;;1;1;;314;1;;;314
