codi_conc_tco;codi_oper_ope;codi_cicl_cic;desc_conc_tco;desc_cort_tco;tipo_conc_tco;tipo_calc_tco;secu_calc_tco;flag_asoc_tco;flag_recu_tco;rnta_qnta_tco;cts_cts_tco;codi_conc_onc;codi_enti_ent;cnta_debe_tco;cnta_habe_tco;clas_conc_tco;flag_pago_tco;codi_cova_tco;codi_rtps_tco;tipo_conc_pla;codi_conc_pla;desc_conc_pla;codi_plame;estado
00105;;G;TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 25%;TRABAJO EN SOBRETIEMPO (H;1;;;;;;;;;;;;;;;;;;0;A
00106;;G;TRABAJO EN SOBRETIEMPO (HORAS EXTRAS) 35%;TRABAJO EN SOBRETIEMPO (H;1;;;;;;;;;;;;;;;;;;0;A
00107;;G;TRABAJO EN DÍA FERIADO O DÍA DE DESCANSO;TRABAJO EN DÍA FERIADO O;1;;;;;;;;;;;;;;;;;;0;A
00114;;G;VACACIONES TRUNCAS;VACACIONES TRUNCAS;1;;;;;;;;;;;;;;;;;;0;A
00118;;G;REMUNERACIÓN VACACIONAL;REMUNERACIÓN VACACIONAL;1;;;;;;;;;;;;;;;;;;0;A
00121;;G;REMUNERACIÓN O JORNAL BÁSICO;REMUNERACIÓN O JORNAL BÁS;1;;;;;;;;;;;;;;;;;;0;A
00201;;G;ASIGNACIÓN FAMILIAR;ASIGNACIÓN FAMILIAR;1;;;;;;;;;;;;;;;;;;0;A
00306;;G;BONIFICACIONES REGULARES;BONIFICACIONES REGULARES;1;;;;;;;;;;;;;;;;;;0;A
00309;;G;BONIFICACIÓN POR TURNO NOCTURNO 20% JORNAL BASICO;BONIFICACIÓN POR TURNO NO;1;;;;;;;;;;;;;;;;;;0;A
00312;;G;BONIFICACIÓN EXTRAORDINARIA TEMPORAL LEY 29351;BONIFICACIÓN EXTRAORDINAR;1;;;;;;;;;;;;;;;;;;0;A
00313;;G;BONIFICACIÓN EXTRAORDINARIA PROPORCIONAL LEY 29351;BONIFICACIÓN EXTRAORDINAR;1;;;;;;;;;;;;;;;;;;0;A
00406;;G;GRATIFICACIONES DE FIESTAS PATRIAS Y NAVIDAD LEY 29351;GRATIFICACIONES DE FIESTA;1;;;;;;;;;;;;;;;;;;0;A
00407;;G;GRATIFICACIONES PROPORCIONAL LEY 29351;GRATIFICACIONES PROPORCIO;1;;;;;;;;;;;;;;;;;;0;A
00601;;G;SISTEMA PRIVADO DE PENSIONES - COMISIÓN PORCENTUAL;SISTEMA PRIVADO DE PENSIO;3;;;;;;;;;;;;;;;;;;0;A
00605;;G;RENTA QUINTA CATEGORÍA RETENCIONES;RENTA QUINTA CATEGORÍA RE;3;;;;;;;;;;;;;;;;;;0;A
00606;;G;SISTEMA PRIVADO DE PENSIONES - PRIMA DE SEGURO;SISTEMA PRIVADO DE PENSIO;3;;;;;;;;;;;;;;;;;;0;A
00608;;G;SISTEMA PRIVADO DE PENSIONES - APORTACIÓN OBLIGATORIA;SISTEMA PRIVADO DE PENSIO;3;;;;;;;;;;;;;;;;;;0;A
00701;;G;ADELANTO;ADELANTO;2;;;;;;;;;;;;;;;;;;0;A
00702;;G;CUOTA SINDICAL;CUOTA SINDICAL;2;;;;;;;;;;;;;;;;;;0;A
00704;;G;TARDANZAS;TARDANZAS;2;;;;;;;;;;;;;;;;;;0;A
00705;;G;INASISTENCIAS;INASISTENCIAS;2;;;;;;;;;;;;;;;;;;0;A
00706;;G;OTROS DESCUENTOS NO DEDUCIBLES DE LA BASE IMPONIBLE;OTROS DESCUENTOS NO DEDUC;2;;;;;;;;;;;;;;;;;;0;A
00707;;G;OTROS DESCUENTOS DEDUCIBLES DE LA BASE IMPONIBLE;OTROS DESCUENTOS DEDUCIBL;2;;;;;;;;;;;;;;;;;;0;A
