id_turno;nume_ndia_dtu;flag_labo_dtu;minu_tole_dtu;hora_sali_dtu;hora_entr_dtu
4;1;S;0;1900-01-01 16:00:00.0;1900-01-01 08:00:00.0
4;2;S;0;1900-01-01 16:00:00.0;1900-01-01 08:00:00.0
4;3;S;0;1900-01-01 16:00:00.0;1900-01-01 08:00:00.0
4;4;S;0;1900-01-01 16:00:00.0;1900-01-01 08:00:00.0
4;5;S;0;1900-01-01 16:00:00.0;1900-01-01 08:00:00.0
4;6;N;0;1900-01-01 00:00:00.0;1900-01-01 00:00:00.0
4;7;N;0;1900-01-01 00:00:00.0;1900-01-01 00:00:00.0
2;1;S;0;1900-01-01 17:00:00.0;1900-01-01 08:00:00.0
2;2;S;0;1900-01-01 17:00:00.0;1900-01-01 08:00:00.0
2;3;S;0;1900-01-01 17:00:00.0;1900-01-01 08:00:00.0
2;4;S;0;1900-01-01 17:00:00.0;1900-01-01 08:00:00.0
2;5;S;0;1900-01-01 17:00:00.0;1900-01-01 08:00:00.0
2;6;N;0;1900-01-01 00:00:00.0;1900-01-01 00:00:00.0
2;7;N;0;1900-01-01 00:00:00.0;1900-01-01 00:00:00.0
1;1;S;0;1900-01-01 17:30:00.0;1900-01-01 08:30:00.0
1;2;S;0;1900-01-01 17:30:00.0;1900-01-01 08:30:00.0
1;3;S;0;1900-01-01 17:30:00.0;1900-01-01 08:30:00.0
1;4;S;0;1900-01-01 17:30:00.0;1900-01-01 08:30:00.0
1;5;S;0;1900-01-01 17:30:00.0;1900-01-01 08:30:00.0
1;6;N;0;1900-01-01 09:00:00.0;1900-01-01 09:00:00.0
1;7;N;0;1900-01-01 09:00:00.0;1900-01-01 09:00:00.0
3;1;S;0;1900-01-01 17:30:00.0;1900-01-01 09:30:00.0
3;2;S;0;1900-01-01 17:30:00.0;1900-01-01 09:30:00.0
3;3;S;0;1900-01-01 17:30:00.0;1900-01-01 09:30:00.0
3;4;S;0;1900-01-01 17:30:00.0;1900-01-01 09:30:00.0
3;5;S;0;1900-01-01 17:30:00.0;1900-01-01 09:30:00.0
3;6;N;0;1900-01-01 12:00:00.0;1900-01-01 07:00:00.0
3;7;N;0;1900-01-01 00:00:00.0;1900-01-01 00:00:00.0
