codi_nive_ned;desc_nive_ned;codi_rtps_ned;flag_acti_ned;servir
01;SIN EDUCACIÓN FORMAL;01;1;
02;EDUCACIÓN ESPECIAL INCOMPLETA;02;1;
03;EDUCACIÓN ESPECIAL COMPLETA;03;1;
04;EDUCACIÓN PRIMARIA INCOMPLETA;04;1;1
05;EDUCACIÓN PRIMARIA COMPLETA;05;1;2
06;EDUCACIÓN SECUNDARIA INCOMPLETA;06;1;3
07;EDUCACIÓN SECUNDARIA COMPLETA;07;1;4
08;EDUCACIÓN TÉCNICA INCOMPLETA;08;1;5
09;EDUCACIÓN TÉCNICA COMPLETA;09;1;6
10;EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) INCOMPLETA ;10;1;
11;EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) COMPLETA ;11;1;
12;EDUCACIÓN UNIVERSITARIA INCOMPLETA;12;1;7
13;EDUCACIÓN UNIVERSITARIA COMPLETA;13;1;8
14;GRADO DE BACHILLER;14;1;
15;TITULADO;15;1;
16;ESTUDIOS DE MAESTRÍA INCOMPLETA;16;1;
17;ESTUDIOS DE MAESTRÍA COMPLETA;17;1;10
18;GRADO DE MAESTRÍA;18;1;11
19;ESTUDIOS DE DOCTORADO INCOMPLETO;19;1;
20;ESTUDIOS DE DOCTORADO COMPLETO;20;1;12
21;GRADO DE DOCTOR;21;1;13
