id_persona;id_turno;codi_tarj_etu;fech_asig_ttu;flag_cont_asis;flag_sobt_ent
1;1;001;2021-08-17 00:00:00.0;S;1
2;1;001;2021-08-17 00:00:00.0;S;1
3;1;001;2021-08-17 00:00:00.0;S;1
4;1;001;2021-08-17 00:00:00.0;S;1
5;1;001;2021-08-17 00:00:00.0;S;1
6;1;001;2021-08-17 00:00:00.0;S;1
7;1;001;2021-08-17 00:00:00.0;S;1
8;1;001;2021-08-17 00:00:00.0;S;1
9;1;001;2021-08-17 00:00:00.0;S;1
10;1;001;2021-08-17 00:00:00.0;S;1
11;1;001;2021-08-17 00:00:00.0;S;1
12;1;001;2021-08-17 00:00:00.0;S;1
13;1;001;2021-08-17 00:00:00.0;S;1
14;1;001;2021-08-17 00:00:00.0;S;1
15;1;001;2021-08-17 00:00:00.0;S;1
16;1;001;2021-08-17 00:00:00.0;S;1
17;1;001;2021-08-17 00:00:00.0;S;1
18;1;001;2021-08-17 00:00:00.0;S;1
19;1;001;2021-08-17 00:00:00.0;S;1
20;1;001;2021-08-17 00:00:00.0;S;1
21;1;001;2021-08-17 00:00:00.0;S;1
22;1;001;2021-08-17 00:00:00.0;S;1
23;1;001;2021-08-17 00:00:00.0;S;1
24;1;001;2021-08-17 00:00:00.0;S;1
25;1;001;2021-08-17 00:00:00.0;S;1
26;1;001;2021-08-17 00:00:00.0;S;1
27;1;001;2021-08-17 00:00:00.0;S;1
28;1;001;2021-08-17 00:00:00.0;S;1
29;1;001;2021-08-17 00:00:00.0;S;1
30;1;001;2021-08-17 00:00:00.0;S;1
31;1;001;2021-08-17 00:00:00.0;S;0
32;1;001;2021-08-17 00:00:00.0;S;1
33;1;001;2021-08-17 00:00:00.0;S;1
34;1;001;2021-08-17 00:00:00.0;S;1
35;1;001;2021-08-17 00:00:00.0;S;1
36;1;001;2021-08-17 00:00:00.0;S;1
37;1;001;2021-08-17 00:00:00.0;S;1
38;1;001;2021-08-17 00:00:00.0;S;1
39;1;001;2021-08-17 00:00:00.0;S;1
40;1;001;2021-08-17 00:00:00.0;S;1
41;1;001;2021-08-17 00:00:00.0;S;1
42;1;001;2021-08-17 00:00:00.0;S;1
43;1;001;2021-08-17 00:00:00.0;S;1
44;1;001;2021-08-17 00:00:00.0;S;1
45;1;001;2021-08-17 00:00:00.0;S;1
46;1;001;2021-08-17 00:00:00.0;S;1
47;1;001;2021-08-17 00:00:00.0;S;1
48;1;001;2021-08-17 00:00:00.0;S;1
49;1;001;2021-08-17 00:00:00.0;S;1
50;1;001;2021-08-17 00:00:00.0;S;1
51;1;001;2021-08-17 00:00:00.0;S;1
52;1;001;2021-08-17 00:00:00.0;S;1
53;1;001;2021-08-17 00:00:00.0;S;1
54;1;001;2021-08-17 00:00:00.0;S;1
55;1;001;2021-08-17 00:00:00.0;S;1
56;1;001;2021-08-17 00:00:00.0;S;1
57;1;001;2021-08-17 00:00:00.0;S;1
58;1;001;2021-08-17 00:00:00.0;S;1
59;1;001;2021-08-17 00:00:00.0;S;1
60;1;001;2021-08-17 00:00:00.0;S;1
61;1;001;2021-08-17 00:00:00.0;S;1
62;1;001;2021-08-17 00:00:00.0;S;1
63;1;001;2021-08-17 00:00:00.0;N;1
64;1;001;2021-08-17 00:00:00.0;N;1
65;1;001;2021-08-17 00:00:00.0;N;1
