"fech_feri_tdf";"flag_mdia_tdf";"sali_mdia_tdf";"moti_feri_tdf";"flag_nlab_tdf";"fech_frec_tdf";"fech_irec_tdf";"flag_recu_tdf"
2019-01-01 00:00:00;N;;AÑO NUEVO;"0";;;"0"
2019-07-28 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2019-07-29 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2019-12-25 00:00:00;N;;NAVIDAD;"0";;;"0"
2019-10-08 00:00:00;N;;COMBATE DE ANGAMOS;"0";;;"0"
2019-05-01 00:00:00;N;;DIA DEL TRABAJO;"0";;;"0"
2019-11-01 00:00:00;N;;TODOS LOS SANTOS;"0";;;"0"
2019-06-29 00:00:00;N;;SAN PEDRO Y SAN PABLO;"0";;;"0"
2019-08-30 00:00:00;N;;SANTA ROSA DE LIMA;"0";;;"0"
2019-12-08 00:00:00;N;;INMACULADA CONCEPCION;"0";;;"0"
2019-04-18 00:00:00;N;;JUEVES SANTO;"0";;;"0"
2019-04-19 00:00:00;N;;VIERNES SANTO;"0";;;"0"
2019-07-30 00:00:00;N;;FERIADO PARA EL ESTADO;"0";2019-08-28 00:00:00;2019-08-12 00:00:00;"1"
2019-10-31 00:00:00;N;;FERIADO PARA EL ESTADO;"0";2019-11-30 00:00:00;2019-11-04 00:00:00;"1"
2019-08-29 00:00:00;N;;FERIADO DEL ESTADO;"0";2019-09-20 00:00:00;2019-09-02 00:00:00;"1"
2019-12-31 00:00:00;S;2019-12-31 13:00:00;VISPERA DE AÑO NUEVO;"1";;;"0"
2019-12-24 00:00:00;S;2019-12-24 13:00:00;VISPERA NAVIDAD;"1";;;"0"
2019-07-26 00:00:00;S;2019-07-26 12:00:00;INAUGURACION DE PANAMERICANOS;"1";2019-08-09 00:00:00;2019-08-01 00:00:00;"1"
2020-01-01 00:00:00;N;;AÑO NUEVO;"0";;;"0"
2020-07-28 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2020-07-29 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2020-12-25 00:00:00;N;;NAVIDAD;"0";;;"0"
2020-10-08 00:00:00;N;;COMBATE DE ANGAMOS;"0";;;"0"
2020-05-01 00:00:00;N;;DIA DEL TRABAJO;"0";;;"0"
2020-11-01 00:00:00;N;;TODOS LOS SANTOS;"0";;;"0"
2020-06-29 00:00:00;N;;SAN PEDRO Y SAN PABLO;"0";;;"0"
2020-08-30 00:00:00;N;;SANTA ROSA DE LIMA;"0";;;"0"
2020-12-08 00:00:00;N;;INMACULADA CONCEPCION;"0";;;"0"
2020-04-09 00:00:00;N;;JUEVES SANTO;"0";;;"0"
2020-04-10 00:00:00;N;;VIERNES SANTO;"0";;;"0"
2021-01-01 00:00:00;N;;AÑO NUEVO;"0";;;"0"
2021-04-01 00:00:00;N;;JUEVES SANTO;"0";;;"0"
2021-04-02 00:00:00;N;;VIERNES SANTO;"0";;;"0"
2021-05-01 00:00:00;N;;DIA DEL TRABAJO;"0";;;"0"
2021-06-29 00:00:00;N;;SAN PEDRO Y SAN PABLO;"0";;;"0"
2021-07-28 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2021-07-29 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2021-08-30 00:00:00;N;;SANTA ROSA DE LIMA;"0";;;"0"
2021-10-08 00:00:00;N;;COMBATE DE ANGAMOS;"0";;;"0"
2021-11-01 00:00:00;N;;TODOS LOS SANTOS;"0";;;"0"
2021-12-08 00:00:00;N;;INMACULADA CONCEPCION;"0";;;"0"
2021-12-25 00:00:00;N;;NAVIDAD;"0";;;"0"
2022-01-01 00:00:00;N;;AÑO NUEVO;"0";;;"0"
2022-04-14 00:00:00;N;;JUEVES SANTO;"0";;;"0"
2022-04-15 00:00:00;N;;VIERNES SANTO;"0";;;"0"
2022-05-01 00:00:00;N;;DIA DEL TRABAJO;"0";;;"0"
2022-06-29 00:00:00;N;;SAN PEDRO Y SAN PABLO;"0";;;"0"
2022-07-28 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2022-07-29 00:00:00;N;;FIESTAS PATRIAS;"0";;;"0"
2022-08-30 00:00:00;N;;SANTA ROSA DE LIMA;"0";;;"0"
2022-10-08 00:00:00;N;;COMBATE DE ANGAMOS;"0";;;"0"
2022-11-01 00:00:00;N;;TODOS LOS SANTOS;"0";;;"0"
2022-12-08 00:00:00;N;;INMACULADA CONCEPCION;"0";;;"0"
2022-12-09 00:00:00;N;;BATALLA DE AYACUCHO;"0";;;"0"
2022-12-25 00:00:00;N;;NAVIDAD;"0";;;"0"
