codi_depa_dpt;codi_prov_tpr;codi_dist_tdi;nomb_dist_tdi;codi_sede_sed
04;03;12;QUICACHA                 ;024
04;03;13;YAUCA                    ;024
04;04;02;ANDAGUA                  ;024
04;04;03;AYO                      ;024
04;04;04;CHACHAS                  ;024
04;04;06;CHOCO                    ;024
04;04;07;HUANCARQUI               ;024
04;04;08;MACHAGUAY                ;024
04;04;09;ORCOPAMPA                ;024
04;04;10;PAMPACOLCA               ;024
04;04;11;TIPAN                    ;024
04;04;13;URACA                    ;024
04;04;14;VIRACO                   ;024
04;05;01;CHIVAY                   ;024
04;05;03;CABANACONDE              ;024
04;05;04;CALLALLI                 ;024
04;05;05;CAYLLOMA                 ;024
04;05;06;COPORAQUE                ;024
04;05;08;HUANCA                   ;024
04;05;09;ICHUPAMPA                ;024
04;05;10;LARI                     ;024
04;05;11;LLUTA                    ;024
04;05;13;MADRIGAL                 ;024
04;05;14;SAN ANTONIO DE CHUCA  2/ ;024
04;05;15;SIBAYO                   ;024
04;05;16;TAPAY                    ;024
04;05;18;TUTI                     ;024
04;05;19;YANQUE                   ;024
04;05;20;MAJES                    ;024
04;06;01;CHUQUIBAMBA              ;024
04;06;03;CAYARANI                 ;024
04;06;04;CHICHAS                  ;024
04;06;05;IRAY                     ;024
04;06;06;RIO GRANDE               ;024
04;06;08;YANAQUIHUA               ;024
04;07;01;MOLLENDO                 ;024
04;07;02;COCACHACRA               ;024
04;07;03;DEAN VALDIVIA            ;024
04;07;04;ISLAY                    ;024
04;07;06;PUNTA DE BOMBON          ;024
04;08;01;COTAHUASI                ;024
04;08;02;ALCA                     ;024
04;08;04;HUAYNACOTAS              ;024
04;08;05;PAMPAMARCA               ;024
04;08;06;PUYCA                    ;024
04;08;07;QUECHUALLA               ;024
04;08;08;SAYLA                    ;024
04;08;10;TOMEPAMPA                ;024
04;08;11;TORO                     ;024
05;01;01;AYACUCHO                 ;014
05;01;02;ACOCRO                   ;014
05;01;04;CARMEN ALTO              ;014
05;01;05;CHIARA                   ;014
05;01;06;OCROS                    ;014
05;01;07;PACAYCASA                ;014
05;01;08;QUINUA                   ;014
05;01;10;SAN JUAN BAUTISTA        ;014
