codi_pais_tpa;nomb_pais_tpa;codi_rtps_tpa;flag_acti_tpa;abr_bid_tpa;abr_birf_tpa
3012;ESTADOS UNIDOS;3012;1;;
6033;CROACIA;6033;1;;
7009;FIJI;7009;1;;
7010;GUAM;7010;1;;
3052;ISLAS MAURITIUS (MAURICIO);3052;1;;
5041;ISLAS REUNION;5041;1;;
7011;ISLAS SALOMON;7011;1;;
0000;RUSIA;0000;1;;
3000;AFRICA;3000;1;;
3001;ANGOLA;3001;1;;
3002;ARGELIA;3002;1;;
3003;BENIN;3003;1;;
3004;BOTSWANA;3004;1;;
3005;BURKINA PASO;3005;1;;
3006;BURUNDI;3006;1;;
3007;CABO VERDE;3007;1;;
3008;CAMERUN;3008;1;;
3009;CHAD;3009;1;;
3010;CONGO REP DEL;3010;1;;
3011;COSTA DE MARFIL;3011;1;;
3013;EGIPTO;3013;1;;
3014;ETIOPIA;3014;1;;
3015;GABON;3015;1;;
3016;GAMBIA;3016;1;;
3017;GHANA;3017;1;;
3018;GUINEA;3018;1;;
3019;GUINEA ECUATORIAL;3019;1;;
3020;GUINEA BISSAU;3020;1;;
3021;ISLAS COMORES;3021;1;;
3022;KENYA;3022;1;;
3023;LESOTHO;3023;1;;
3024;LIBERIA;3024;1;;
3025;LIBIA;3025;1;;
3026;MADAGASCAR;3026;1;;
3027;MALAWI;3027;1;;
3028;MALI;3028;1;;
3029;MARRUECOS;3029;1;;
3030;MAURITANIA;3030;1;;
3031;MOZAMBIQUE;3031;1;;
3032;NAMIBIA;3032;1;;
3033;NIGER;3033;1;;
3034;NIGERIA;3034;1;;
3035;REP. CENTROAFRICANA;3035;1;;
3036;RUANDA;3036;1;;
3037;SANTO TOME Y PRINCIPE;3037;1;;
3038;SENEGAL;3038;1;;
3039;SEYCHELLES;3039;1;;
3040;SIERRA LEONA;3040;1;;
3041;SOMALIA;3041;1;;
3042;SUAZILANDIA;3042;1;;
3043;SUDAFRICA;3043;1;;
3044;SUDAN;3044;1;;
3045;TANZANIA;3045;1;;
3046;TOGO;3046;1;;
3047;TUNEZ;3047;1;;
3048;UGANDA;3048;1;;
3049;ZAIRE;3049;1;;
3050;ZAMBIA;3050;1;;
3051;ZIMBABWE;3051;1;;
3099;OTROS PAISES DE AFRICA;3099;1;;
4000;AMERICA;4000;1;;
4001;ANTIGUA BERMUDA;4001;1;;
4002;ARGENTINA;4002;1;;
4003;BAHAMAS;4003;1;;
4004;BARBADOS;4004;1;;
4005;BELICE;4005;1;;
4006;BOLIVIA;4006;1;;
4007;BRASIL;4007;1;;
4008;CANADA;4008;1;;
4009;CHILE;4009;1;;
4010;COLOMBIA;4010;1;;
4011;COSTA RICA;4011;1;;
4012;CUBA;4012;1;;
4013;DOMINICANA;4013;1;;
4014;ECUADOR;4014;1;;
4015;EL SALVADOR;4015;1;;
4016;USA;4016;1;;
4017;GRANADA;4017;1;;
4018;GUATEMALA;4018;1;;
4019;GUYANA;4019;1;;
4020;GUYANA FRANCESA;4020;1;;
4021;HAITI;4021;1;;
4022;HONDURAS;4022;1;;
4023;JAMAICA;4023;1;;
4024;MEXICO;4024;1;;
4025;NICARAGUA;4025;1;;
6034;ESLOVENIA;6034;1;;
4027;PARAGUAY;4027;1;;
4028;PERU;9589;1;;
4029;PUERTO RICO;4029;1;;
5002;PRABIA SAUDITA;5002;1;;
5010;COREA DEL SUR;5010;1;;
5012;EMIRATO ARABES UNIDO;5012;1;;
5030;PAKISTAN;5030;1;;
6022;PAISES BAJOS(HOLANDA);6022;1;;
6023;POLONIA;6023;1;;
6024;PORTUGAL;6024;1;;
4026;PANAMA;4026;1;;
4030;REPUBLICA DOMINICANA;4030;1;;
4031;SAN CRISTOBAL Y NEVIS;4031;1;;
4032;SAN VICENTE Y LAS GRANADINAS;4032;1;;
4033;SANTA LUCIA;4033;1;;
4034;SURINAME;4034;1;;
4035;TRINIDAD Y TOBAGO;4035;1;;
4036;URUGUAY;4036;1;;
4037;VENEZUELA;4037;1;;
4099;OTROS PAISES DE AMERICA;4099;1;;
5000;ASIA;5000;1;;
5001;AFGANISTAN;5001;1;;
5003;BAHERIN;5003;1;;
5004;BANGLADESH;5004;1;;
5005;BIRMANIA;5005;1;;
5006;BRUNEI;5006;1;;
5007;BUTAN;5007;1;;
5008;CHINA;5008;1;;
5009;CHIPRE;5009;1;;
5011;COREA DEL NORTE;5011;1;;
5013;FILIPINAS;5013;1;;
5014;INDIA;5014;1;;
5015;INDONESIA;5015;1;;
5016;IRAK;5016;1;;
5017;IRAN;5017;1;;
5018;ISLAS MALDIVAS;5018;1;;
5019;ISRAEL;5019;1;;
5020;JAPON;5020;1;;
5021;JORDANIA;5021;1;;
5022;CAMBOYA;5022;1;;
5023;KUWAIT;5023;1;;
5024;LAOS;5024;1;;
5025;LIBANO;5025;1;;
5026;MALASIA;5026;1;;
5027;MONGOLIA;5027;1;;
5028;NEPAL;5028;1;;
5029;OMAN;5029;1;;
5031;QATAR;5031;1;;
5032;SINGAPUR;5032;1;;
5033;SIRIA;5033;1;;
5034;SRI LANKA (CEILAN);5034;1;;
5035;TAILANDIA;5035;1;;
5036;TAIWAN;5036;1;;
5037;TURQUIA;5037;1;;
5038;VIETNAM;5038;1;;
5039;YEMEN DEL SUR;5039;1;;
5040;YEMEN DEL NORTE;5040;1;;
5099;OTROS PAISES DEL ASIA;5099;1;;
6000;EUROPA;6000;1;;
6001;ALBANIA;6001;1;;
6002;ALEMANIA;6002;1;;
6003;ANDORRA;6003;1;;
6004;AUSTRIA;6004;1;;
6005;BELGICA;6005;1;;
6006;BULGARIA;6006;1;;
6007;REPUBLICA CHECA;6007;1;;
6008;DINAMARCA;6008;1;;
6009;ESPAÑA;6009;1;;
6010;FINLANDIA;6010;1;;
6011;FRANCIA;6011;1;;
6012;GRECIA;6012;1;;
6013;HUNGRIA;6013;1;;
6014;IRLANDA;6014;1;;
6015;ISLANDIA;6015;1;;
6016;ITALIA;6016;1;;
6017;LIECHTENSTEIN;6017;1;;
6018;LUXEMBURGO;6018;1;;
6019;MALTA;6019;1;;
6020;MONACO;6020;1;;
6021;NORUEGA;6021;1;;
6025;REINO UNIDO;6025;1;;
6026;RUMANIA;6026;1;;
6027;SAN MARINO;6027;1;;
6028;SUECIA;6028;1;;
6029;SUIZA;6029;1;;
6030;RUSIA;6030;1;;
6031;VATICANO;6031;1;;
6032;SERBIA;6032;1;;
6099;OTROS PAISES DE EUROPA;6099;1;;
7000;OCEANIA;7000;1;;
7001;AUSTRALIA;7001;1;;
7002;NUEVA ZELANDIA;7002;1;;
7003;SAMOA OCCIDENTAL;7003;1;;
7004;TONGA;7004;1;;
6036;ARMENIA;6036;1;;
6035;IRLANDA DEL NORTE;6035;1;;
7008;ESLOVAQUIA;7008;1;;
