codi_depa_dpt;codi_prov_tpr;nomb_prov_tpr
25;01;CORONEL PORTILLO
25;02;ATALAYA
25;03;PADRE ABAD
25;04;PURUS
25;05;PUCALLPA
99;99;MULTIPROVINCIAL
15;99;LIMA (CENTRAL)
15;98;CALLAO
01;02;BAGUA
01;03;BONGARA
01;04;CONDORCANQUI
01;05;LUYA
01;06;RODRIGUEZ DE MENDO
01;07;UTCUBAMBA
01;01;CHACHAPOYAS
02;01;HUARAZ
02;02;AIJA
02;03;ANTONIO RAYMONDI
02;04;ASUNCION
02;05;BOLOGNESI
02;06;CARHUAZ
02;07;CARLOS FERMIN FITZCARRALD
02;08;CASMA
02;09;CORONGO
02;10;HUARI
02;11;HUARMEY
02;12;HUAYLAS
02;13;MARISCAL LUZURIAGA
02;14;OCROS
02;15;PALLASCA
02;16;POMABAMBA
02;17;RECUAY
02;18;SANTA
02;19;SIHUAS
02;20;YUNGAY
03;01;ABANCAY
03;02;ANDAHUAYLAS
03;03;ANTABAMBA
03;04;AYMARAES
03;05;COTABAMBAS
03;06;CHINCHEROS
03;07;GRAU
04;01;AREQUIPA
04;02;CAMANA
04;03;CARAVELI
04;04;CASTILLA
04;05;CAYLLOMA
04;06;CONDESUYOS
04;07;ISLAY
04;08;LA UNION
05;01;HUAMANGA
05;02;CANGALLO
05;03;HUANCA SANCOS
05;04;HUANTA
05;05;LA MAR
05;06;LUCANAS
05;07;PARINACOCHAS
05;08;PAUCAR DEL SARA SARA
05;09;SUCRE
05;10;VICTOR FAJARDO
05;11;VILCAS HUAMAN
06;01;CAJAMARCA
06;02;CAJABAMBA
06;03;CELENDIN
06;04;CHOTA
06;05;CONTUMAZA
06;06;CUTERVO
06;07;HUALGAYOC
06;08;JAEN
06;09;SAN IGNACIO
06;10;SAN MARCOS
06;11;SAN MIGUEL
06;12;SAN PABLO
06;13;SANTA CRUZ
07;01;CALLAO
08;01;CUSCO
08;02;ACOMAYO
08;03;ANTA
08;04;CALCA
08;05;CANAS
08;06;CANCHIS
08;07;CHUMBIVILCAS
08;08;ESPINAR
08;09;LA CONVENCION
08;10;PARURO
08;11;PAUCARTAMBO
08;12;QUISPICANCHI
08;13;URUBAMBA
09;01;HUANCAVELICA
09;02;ACOBAMBA
09;03;ANGARAES
09;04;CASTROVIRREYNA
09;05;CHURCAMPA
09;06;HUAYTARA
09;07;TAYACAJA
10;01;HUANUCO
10;02;AMBO
10;03;DOS DE MAYO
10;04;HUACAYBAMBA
10;05;HUAMALIES
10;06;LEONCIO PRADO
10;07;MARA?ON
10;08;PACHITEA
10;09;PUERTO INCA
10;10;LAURICOCHA
10;11;YAROWILCA
11;01;ICA
11;02;CHINCHA
11;03;NAZCA
11;04;PALPA
11;05;PISCO
12;01;HUANCAYO
12;02;CONCEPCION
12;03;CHANCHAMAYO
12;04;JAUJA
12;05;JUNIN
12;06;SATIPO
12;07;TARMA
12;08;YAULI
12;09;CHUPACA
13;01;TRUJILLO
13;02;ASCOPE
13;03;BOLIVAR
13;04;CHEPEN
13;05;JULCAN
13;06;OTUZCO
13;07;PACASMAYO
13;08;PATAZ
13;09;SANCHEZ CARRION
13;10;SANTIAGO DE CHUCO
13;11;GRAN CHIMU
13;12;VIRU
14;01;CHICLAYO
14;02;FERRE?AFE
14;03;LAMBAYEQUE
15;01;LIMA
15;02;BARRANCA
15;03;CAJATAMBO
15;04;CANTA
15;06;HUARAL
15;07;HUAROCHIRI
15;08;HUAURA
15;09;OYON
15;10;YAUYOS
16;01;MAYNAS
16;02;ALTO AMAZONAS
16;03;LORETO
16;04;MARISCAL RAMON CASTILLA
16;05;REQUENA
16;06;UCAYALI
17;01;TAMBOPATA
17;02;MANU
17;03;TAHUAMANU
18;01;MARISCAL NIETO
18;02;GENERAL SANCHEZ CERRO
18;03;ILO
19;01;PASCO
19;02;DANIEL ALCIDES CARRION
19;03;OXAPAMPA
20;01;PIURA
20;02;AYABACA
20;03;HUANCABAMBA
20;04;MORROPON
20;05;PAITA
20;06;SULLANA
20;07;TALARA
20;08;SECHURA
21;01;PUNO
21;02;AZANGARO
21;03;CARABAYA
21;04;CHUCUITO
21;05;EL COLLAO
21;06;HUANCANE
21;07;LAMPA
21;08;MELGAR
21;09;MOHO
21;10;SAN ANTONIO DE PUTINA
21;11;SAN ROMAN
21;12;SANDIA
21;13;YUNGUYO
22;01;MOYOBAMBA
22;02;BELLAVISTA
22;03;EL DORADO
22;04;HUALLAGA
22;05;LAMAS
22;06;MARISCAL CACERES
22;07;PICOTA
22;08;RIOJA
22;09;SAN MARTIN
22;10;TOCACHE
23;01;TACNA
23;02;CANDARAVE
23;03;JORGE BASADRE
23;04;TARATA
24;01;TUMBES
24;02;CONTRALMIRANTE VILLAR
24;03;ZARUMILLA
