id_reniec;departamento;provincia;distrito;id_inei;id_pais
010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;010101;PER
010102;AMAZONAS;CHACHAPOYAS;ASUNCION;010102;PER
010103;AMAZONAS;CHACHAPOYAS;BALSAS;010103;PER
010104;AMAZONAS;CHACHAPOYAS;CHETO;010104;PER
010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;010105;PER
010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;010106;PER
010107;AMAZONAS;CHACHAPOYAS;GRANADA;010107;PER
010108;AMAZONAS;CHACHAPOYAS;HUANCAS;010108;PER
010109;AMAZONAS;CHACHAPOYAS;LA JALCA;010109;PER
010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;010110;PER
010111;AMAZONAS;CHACHAPOYAS;LEVANTO;010111;PER
010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;010112;PER
010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;010113;PER
010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;010114;PER
010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;010115;PER
010116;AMAZONAS;CHACHAPOYAS;OLLEROS;010116;PER
010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;010117;PER
010118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;010118;PER
010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;010119;PER
010120;AMAZONAS;CHACHAPOYAS;SOLOCO;010120;PER
010121;AMAZONAS;CHACHAPOYAS;SONCHE;010121;PER
010201;AMAZONAS;BAGUA;LA PECA;010206;PER
010202;AMAZONAS;BAGUA;ARAMANGO;010202;PER
010203;AMAZONAS;BAGUA;COPALLIN;010203;PER
010204;AMAZONAS;BAGUA;EL PARCO;010204;PER
010205;AMAZONAS;BAGUA;BAGUA;010201;PER
010206;AMAZONAS;BAGUA;IMAZA;010205;PER
010301;AMAZONAS;BONGARA;JUMBILLA;010301;PER
010302;AMAZONAS;BONGARA;COROSHA;010304;PER
010303;AMAZONAS;BONGARA;CUISPES;010305;PER
010304;AMAZONAS;BONGARA;CHISQUILLA;010302;PER
010305;AMAZONAS;BONGARA;CHURUJA;010303;PER
010306;AMAZONAS;BONGARA;FLORIDA;010306;PER
010307;AMAZONAS;BONGARA;RECTA;010308;PER
010308;AMAZONAS;BONGARA;SAN CARLOS;010309;PER
